Marka,Model,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
 Samsung, M51, Android,128.0,32.0,64.0,8.0,7000.0,4999.0
 Samsung, Galaxy M31, Android,128.0,32.0,64.0,6.0,6000.0,3239.0
 Samsung, Galaxy M21 Duos, Android,64.0,20.0,48.0,4.0,6000.0,26.0
 Xiaomi, X3 NFC, Android,128.0,20.0,64.0,6.0,5160.0,3790.0
 Xiaomi, Redmi Note 9 Pro, Android,128.0,16.0,64.0,6.0,5020.0,3715.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2340.0
 Xiaomi, Redmi Note 9 Pro, Android,64.0,16.0,64.0,6.0,5020.0,34.0
 Apple, iPhone SE 2020, iOS,64.0,7.0,12.0,3.0,1821.0,4983.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2729.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2750.0
 Samsung, Galaxy S10 Plus, Android,128.0,16.0,12.0,8.0,4100.0,7099.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2350.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6239.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7490.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2829.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,1880.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3078.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3130.0
 Samsung, Galaxy Note 10 Lite, Android,128.0,32.0,12.0,6.0,4500.0,4839.0
 Huawei, Y9 Prime, Android,128.0,16.0,16.0,4.0,4000.0,2749.0
 Samsung, S20 FE, Android,128.0,32.0,12.0,6.0,4500.0,6179.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7490.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Apple, iPhone 11 Pro Max, iOS,64.0,12.0,12.0,4.0,3969.0,12779.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,1873.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3130.0
 Samsung, S20 FE, Android,128.0,32.0,12.0,6.0,4500.0,6179.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2664.0
 Samsung, Galaxy A31, Android,128.0,20.0,48.0,4.0,5000.0,2999.0
 Xiaomi, Redmi Note 9 Pro, Android,64.0,16.0,64.0,6.0,5020.0,34.0
 Oppo, Reno 3, Android,128.0,44.0,48.0,8.0,4025.0,3929.0
 Samsung, Galaxy Note 10 Plus, Android,256.0,10.0,12.0,12.0,4300.0,8548.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Xiaomi, Mi Note 10 Lite, Android,128.0,16.0,64.0,8.0,5260.0,42.0
 Xiaomi, Mi Note 10 Lite, Android,128.0,16.0,64.0,6.0,5260.0,4044.0
 Xiaomi, Redmi Note 9 Pro, Android,128.0,16.0,64.0,6.0,5020.0,3679.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,11129.0
 Xiaomi, Mi Note 10 Lite, Android,128.0,16.0,64.0,6.0,5260.0,4099.0
 Tcl, 10L, Android,64.0,16.0,48.0,6.0,4000.0,28.0
 Huawei, P30 Lite, Android,128.0,24.0,48.0,4.0,3340.0,28889.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2799.0
