,Unnamed: 0,URL,Price,Marka,Model,İşletim Sistemi,Ön Kamera Çözünürlüğü,Arka Kamera Çözünürlüğü,Bellek Kapasitesi,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Garanti Türü,Hızlı Şarj Özelliği,Çift Hatlı,Toza Dayanıklılık,En,NFC,GPS,Hafıza Kartı Desteği,Yonga Seti (Chipset),4.5G Desteği,İşlemci,Bluetooth Sürüm,Arka Kamera Video Kayıt Çözünürlüğü,CPU Frekansı,Ekran / Gövde Oranı,Optik Görüntü Sabitleyici,Çözünürlük Standardı,USB Bağlantı Tipi,USB Versiyonu,Boy,İkinci Arka Kamera Çözünürlüğü,Kalınlık,Suya Dayanıklılık,Parmak izi Okuyucu,Üçüncü Arka Kamera Çözünürlüğü,Ağırlık,Arka Kamera Video FPS Değeri,Dördüncü Arka Kamera Çözünürlüğü,CPU Çekirdeği,Ekran Tipi,5G Desteği,Yüz Tanıma,Toza Dayanıklılık Seviyesi,Suya Dayanıklılık Seviyesi,1.Yardımcı İşlemci,İkinci Ön Kamera Çözünürlüğü,Kamera Zoom,2.Yardımcı İşlemci,Beşinci Arka Kamera Çözünürlüğü,Dahili_Hafiza
0,0,https://www.n11.com/urun/samsung-galaxy-m51-dual-sim-128-gb-samsung-turkiye-garantili-1528412?magaza=samsungturkiye," 4.999,00 ", Samsung, M51, Android, 32 MP, 64 MP, 8 GB, 7000 mAh," 6.7""", 1080 x 2400, Distribütör Garantili, Var, Var, Yok, 76.3 MM, Var, Var, Var, Qualcomm Snapdragon 730G (SM7150-AB), Var, Dual-core 2.2 Ghz Kryo 470 (Gold),5.0, 2160p (Ultra HD) 4K, 2.2 GHz, % 86.42, Yok, FHD+, USB Type-C, 2.0, 163.9 MM, 12 MP, 9.5 MM, Yok, Var, 5 MP, 213 G, 30 fps, 5 MP,8.0, Super Amoled, Yok,,,,,,,,,128.0
1,1,https://www.n11.com/urun/samsung-galaxy-m31-128-gb-samsung-turkiye-garantili-1293075?magaza=samsungturkiye," 3.239,00 ", Samsung, Galaxy M31, Android, 32 MP, 64 MP, 6 GB, 6000 mAh," 6.4""", 1080 x 2340, Distribütör Garantili, Var, Var, Yok, 75.1 MM, Var, Var, Var, Samsung Exynos 7 Series 9611, Var, Quad-core 2.3 GHz ARM Cortex-A73,5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 83.35, Yok, FHD+, USB Type-C, 2.0, 159.2 MM, 8 MP, 8.9 MM, Yok, Var, 5 MP, 191 G, 30 fps, 5 MP,8.0, Super AMOLED, Yok,,,,,,,,,128.0
2,2,https://www.n11.com/urun/samsung-galaxy-m21-duos-64-gb-samsung-turkiye-garantili-1481543?magaza=samsungturkiye," 2.609,90 ", Samsung, Galaxy M21 Duos, Android, 20 MP, 48 MP, 4 GB, 6000 mAh," 6.4""", 3840 x 2160, Distribütör Garantili, Var, Var,, 75.1 MM, Var, Var, Var, Samsung Exynos 7 Series 9611, Var, Quad-Core 2.3 GHz ARM Cortex-A73,5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 83.7,, FHD+, USB Type-C, 2.0, 159 MM, 8 MP, 8.9 MM,, Var, 5 MP, 188 G, 30 fps,,8.0, Super AMOLED,, Var,,,,,,,,64.0
3,3,https://www.n11.com/urun/xiaomi-poco-x3-nfc-128-gb-xiaomi-turkiye-garantili-1573885?magaza=mieko," 3.790,00 ", Xiaomi, X3 NFC, Android, 20 MP, 64 MP, 6 GB, 5160 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var, Var, 76.8 MM, Var, Var, Var, Qualcomm Snapdragon 732G (SM7150-AC), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 470),5.1, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.41,, Full HD+, USB Type-C, 2.0, 165.3 MM, 13 MP, 9.4 MM, Var, Var, 2 MP, 215 G, 30 fps, 2 MP,8.0, IPS LCD,, Var, IP5X, IPX3, Hexa-core 1.8 GHz ARM Cortex-A55,,,,,128.0
4,4,https://www.n11.com/urun/xiaomi-redmi-note-9-pro-128-gb-6-gb-ram-xiaomi-turkiye-garantili-1377366?magaza=mieko," 3.715,00 ", Xiaomi, Redmi Note 9 Pro, Android, 16 MP, 64 MP, 6 GB, 5020 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var,, 76.68 MM, Var, Var, Var, Qualcomm Snapdragon 720G (SM7125), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 465),5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.27, Yok, FHD+, USB Type-C, 2.0, 165.75 MM, 8 MP, 8.8 MM,, Var, 5 MP, 209 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var,,,,,,,,128.0
5,5,https://www.n11.com/urun/samsung-galaxy-m11-duos-32-gb-samsung-turkiye-garantili-1348930?magaza=samsungturkiye," 2.340,00 ", Samsung, Galaxy M11, Android, 8 MP, 13 MP, 3 GB, 5000 mAh," 6.4""", 720 x 1560, Distribütör Garantili, Var, Var,, 76.3 MM, Yok, Var, Var,,, Octa-Core 1.8 GHz,, 1080p (Full HD),,,, HD,,, 161.4 MM, 2 MP, 9 MM,,, 5 MP, 197 G, 30 fps,,, TFT,,,,,,,,,,32.0
6,6,https://www.n11.com/urun/xiaomi-redmi-note-9-pro-64-gb-xiaomi-turkiye-garantili-1377379?magaza=teknolojiankara," 3.404,00 ", Xiaomi, Redmi Note 9 Pro, Android, 16 MP, 64 MP, 6 GB, 5020 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var,, 76.68 MM, Var, Var, Var, Qualcomm Snapdragon 720G (SM7125), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 465),5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.27, Yok, FHD+, USB Type-C, 2.0, 165.75 MM, 8 MP, 8.8 MM,, Var, 5 MP, 209 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var,,,,,,,,64.0
7,7,https://www.n11.com/urun/apple-iphone-se-2020-64-gb-apple-turkiye-garantili-1381478?magaza=bittibitiyor," 4.983,90 ", Apple, iPhone SE 2020, iOS, 7 MP, 12 MP, 3 GB, 1821 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Var,, Var, 67.3 MM, Var, Var,, Apple A13 Bionic, Var,,5.0, 2160p (Ultra HD) 4K, 2.6 GHz, % 65.36, Var,, Lightning,, 138.4 MM,, 7.3 MM, Var, Var,, 148 G, 60 fps,,6.0, IPS LCD,,, IP6X, IPX7,,,,,,64.0
8,8,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-xiaomi-turkiye-garantili-1387209?magaza=bittibitiyor," 2.949,90 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.2 MM,, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD,, Var,, Sadece Sıçramalara Karşı,,,,,,128.0
9,9,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-ithalatci-garantili-1482137?magaza=demir-bilisim1," 2.729,90 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, İthalatçı Garantili, Var, Var,, 77.2 MM, Yok, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080 P, 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 Fps, 2 MP,8.0, Ips Lcd, Var, Var,,,,,,,,128.0
